ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label,category,specific_class,scenario,frame_index,inter_arrival_idx
65,97.3827,0.49854696,0.21373388,0.21246302,0.0,0.0,0.9848015,0.0,BENIGN,BENIGN,BENIGN,BENIGN,0,0.06581063
1068,132.09782,13.255537,159.12665,1.8127911,0.2115525,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,1,0.0
535,127.312454,255.0,127.10178,254.1066,127.32642,255.0,127.14173,254.38603,BENIGN,BENIGN,BENIGN,BENIGN,2,0.0
131,16.08674,224.83078,0.0,0.5510201,0.0,0.022890776,0.83270174,0.0,BENIGN,BENIGN,BENIGN,BENIGN,3,0.0
936,1.7881817,0.1554454,38.28412,14.538222,0.2698162,0.45557418,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,4,0.004625482
359,0.55362606,128.19463,0.0,0.119153425,0.26294848,1.1486185,227.88528,0.36013806,BENIGN,BENIGN,BENIGN,BENIGN,5,0.3409707
369,15.637419,107.96621,0.0,0.021178462,0.313694,0.0,0.010807105,0.0,BENIGN,BENIGN,BENIGN,BENIGN,6,0.0
516,191.02571,0.3549087,125.1907,0.0,0.0,0.0,1.0900872,0.0,BENIGN,BENIGN,BENIGN,BENIGN,7,0.22249976
609,0.35971078,0.0,8.636004,1.5251883,0.417159,0.0,0.0,0.23534496,BENIGN,BENIGN,BENIGN,BENIGN,8,0.25033885
1071,124.51044,4.112069,0.0,0.81813335,113.236534,0.0,0.97200733,0.04705667,BENIGN,BENIGN,BENIGN,BENIGN,9,0.5356024
1085,20.791042,0.5544317,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,10,0.0
1086,0.20201166,55.684177,16.863613,0.0,0.2479308,0.0,0.35629687,0.0,BENIGN,BENIGN,BENIGN,BENIGN,11,1.3138216
118,61.287315,128.53543,66.79918,125.89918,15.527694,255.0,0.22504185,0.14713421,BENIGN,BENIGN,BENIGN,BENIGN,12,0.0
119,255.0,254.86469,14.752328,254.41882,126.76478,254.54187,254.10692,254.93741,BENIGN,BENIGN,BENIGN,BENIGN,13,0.0
125,0.67815244,0.105763145,246.91351,127.26973,0.20389818,63.207237,255.0,255.0,BENIGN,BENIGN,BENIGN,BENIGN,14,0.0
531,255.0,254.35788,8.059836,127.380356,47.63171,7.24776,255.0,80.2119,BENIGN,BENIGN,BENIGN,BENIGN,15,0.42118564
532,0.0,0.0,0.0,1.7360733,0.1365177,0.064330705,247.4132,128.22647,BENIGN,BENIGN,BENIGN,BENIGN,16,0.0
534,0.2508516,0.08484218,0.0,0.0,195.69006,0.0,0.38921613,0.41446206,BENIGN,BENIGN,BENIGN,BENIGN,17,0.0
1045,0.3413822,0.8489619,52.567085,240.82542,15.004176,254.55511,14.706009,254.6014,BENIGN,BENIGN,BENIGN,BENIGN,18,0.31042615
1200,255.0,0.0,129.35287,0.3799869,128.64139,0.20621203,39.87354,242.17221,BENIGN,BENIGN,BENIGN,BENIGN,19,0.0
71,100.690445,43.433777,166.82338,90.882645,86.24587,74.64503,0.1954132,0.0,BENIGN,BENIGN,BENIGN,BENIGN,20,0.16603053
357,15.13148,65.57831,0.0,1.0882373,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,21,0.088952534
512,0.0,0.31408966,129.94418,79.34788,130.25667,78.93499,239.79384,0.0,BENIGN,BENIGN,BENIGN,BENIGN,22,0.40011823
514,28.579212,253.25836,2.3353825,0.0,63.67713,0.60023797,0.0,0.0656921,BENIGN,BENIGN,BENIGN,BENIGN,23,0.0
560,0.0,30.150352,1.8090458,0.0,18.999636,0.0,0.0,0.2172808,BENIGN,BENIGN,BENIGN,BENIGN,24,0.0
1109,0.74322355,0.77708435,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,25,0.20475174
578,254.19728,254.84506,31.348299,0.36900026,214.87294,0.0,0.30890602,1.0562092,BENIGN,BENIGN,BENIGN,BENIGN,26,0.07370585
125,0.0,0.0,246.4156,145.07224,0.0,63.189903,255.0,254.67145,BENIGN,BENIGN,BENIGN,BENIGN,27,13.028091
532,1.3801911,0.0,0.0,0.8858192,0.38270977,0.11849591,244.57051,143.90782,BENIGN,BENIGN,BENIGN,BENIGN,28,12.158257
1045,0.0,0.0,57.608253,241.7316,15.170959,254.55618,15.118149,255.0,BENIGN,BENIGN,BENIGN,BENIGN,29,11.217344
1200,254.71133,1.1080095,127.76856,0.0,143.60915,0.0,39.56183,241.05429,BENIGN,BENIGN,BENIGN,BENIGN,30,10.862564
514,28.2691,250.6841,15.779516,0.0,64.2579,0.0,0.36218935,0.0,BENIGN,BENIGN,BENIGN,BENIGN,31,8.436409
1438,157.91017,0.0,255.0,255.0,254.80325,254.95753,254.98657,255.0,BENIGN,BENIGN,BENIGN,BENIGN,32,0.05701214
806,0.4014757,160.344,1.934521,255.0,0.6103697,207.80043,0.0,200.43019,BENIGN,BENIGN,BENIGN,BENIGN,33,0.0
950,8.238926,0.0,3.7357461,0.8904177,0.0,0.023851143,0.29939696,0.0,BENIGN,BENIGN,BENIGN,BENIGN,34,0.41681662
951,2.0433395,0.09420944,4.21687,0.24167429,0.0,0.18578246,0.4165723,0.0,BENIGN,BENIGN,BENIGN,BENIGN,35,0.0
125,0.8793951,0.0,245.401,161.50601,0.31597245,63.175552,255.0,254.61655,BENIGN,BENIGN,BENIGN,BENIGN,36,8.379191
532,0.41874653,0.0,0.12271833,1.021069,0.0,0.09002332,245.89091,160.08643,BENIGN,BENIGN,BENIGN,BENIGN,37,8.950414
1045,0.24602753,0.097785726,59.069294,239.65352,15.773885,254.6088,15.368272,254.95702,BENIGN,BENIGN,BENIGN,BENIGN,38,8.694303
1200,255.0,0.0,126.8204,0.06014935,160.68372,0.2148747,38.904484,240.34868,BENIGN,BENIGN,BENIGN,BENIGN,39,9.072113
342,186.59679,0.31969556,0.0,0.83486027,0.0,0.0,0.33114907,0.62568676,BENIGN,BENIGN,BENIGN,BENIGN,40,0.0
358,121.18075,32.41674,0.0,0.024276976,0.0,105.655365,0.6063021,0.0,BENIGN,BENIGN,BENIGN,BENIGN,41,0.0
