ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label,category,specific_class,scenario,frame_index,inter_arrival_idx
65,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,0,0.0
1068,132.0,13.0,160.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,1,0.0
535,127.0,255.0,127.0,255.0,127.0,255.0,127.0,255.0,BENIGN,BENIGN,BENIGN,BENIGN,2,0.0
131,15.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,3,0.0
936,1.0,0.0,39.0,16.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,4,0.0
359,0.0,128.0,0.0,0.0,0.0,1.0,227.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,5,0.0
369,16.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,6,0.0
516,192.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,7,0.0
609,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,8,0.0
1071,125.0,4.0,0.0,2.0,113.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,9,0.0
1085,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,10,0.0
1086,0.0,55.0,16.0,0.0,0.0,0.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,11,0.0
118,62.0,128.0,66.0,128.0,15.0,255.0,0.0,0.0,BENIGN,BENIGN,BENIGN,BENIGN,12,0.0
119,255.0,255.0,15.0,255.0,127.0,255.0,255.0,255.0,BENIGN,BENIGN,BENIGN,BENIGN,13,0.0
125,0.0,0.0,247.0,128.0,0.0,63.0,255.0,255.0,BENIGN,BENIGN,BENIGN,BENIGN,14,0.0
