ID,DATA_0,DATA_1,DATA_2,DATA_3,DATA_4,DATA_5,DATA_6,DATA_7,label,category,specific_class,scenario,frame_index,inter_arrival_idx
65,96,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,0,0.0
1068,132,13,160,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,1,0.0
535,127,255,127,255,127,255,127,255,BENIGN,BENIGN,BENIGN,BENIGN,2,0.0
131,15,224,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,3,0.0
936,1,0,39,16,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,4,0.0
359,0,128,0,0,0,1,227,0,BENIGN,BENIGN,BENIGN,BENIGN,5,0.0
369,16,108,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,6,0.0
516,192,0,125,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,7,0.0
609,0,0,9,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,8,0.0
1071,125,4,0,2,113,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,9,0.0
1085,20,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,10,0.0
1086,0,55,16,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,11,0.0
118,62,128,66,128,15,255,0,0,BENIGN,BENIGN,BENIGN,BENIGN,12,0.0
119,255,255,15,255,127,255,255,255,BENIGN,BENIGN,BENIGN,BENIGN,13,0.0
125,0,0,247,128,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,14,0.0
531,255,255,8,127,47,7,255,80,BENIGN,BENIGN,BENIGN,BENIGN,15,0.0
532,0,0,0,0,0,0,247,128,BENIGN,BENIGN,BENIGN,BENIGN,16,0.0
534,0,0,0,0,195,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,17,0.0
1045,0,0,52,242,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,18,0.0
1200,255,0,128,0,128,0,40,242,BENIGN,BENIGN,BENIGN,BENIGN,19,0.0
71,100,44,169,92,86,74,0,0,BENIGN,BENIGN,BENIGN,BENIGN,20,0.0
357,16,65,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,21,0.0
512,0,0,130,79,130,79,240,0,BENIGN,BENIGN,BENIGN,BENIGN,22,0.0
514,28,253,0,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,23,2.576
560,0,30,0,0,19,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,24,0.0
1109,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,25,0.0
578,255,255,32,0,214,0,0,1,BENIGN,BENIGN,BENIGN,BENIGN,26,0.0
125,0,0,246,144,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,27,13.005107
532,0,0,0,0,0,0,246,144,BENIGN,BENIGN,BENIGN,BENIGN,28,12.000656
1045,0,0,56,241,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,29,10.858547
1200,255,0,128,0,144,0,40,241,BENIGN,BENIGN,BENIGN,BENIGN,30,12.035646
514,28,251,16,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,31,10.787568
1438,158,0,255,255,255,255,255,255,BENIGN,BENIGN,BENIGN,BENIGN,32,0.0
806,1,160,3,255,1,208,0,200,BENIGN,BENIGN,BENIGN,BENIGN,33,0.0
950,8,0,4,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,34,0.0
951,0,0,3,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,35,0.0
125,0,0,245,160,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,36,8.868091
532,0,0,0,0,0,0,245,160,BENIGN,BENIGN,BENIGN,BENIGN,37,9.001838
1045,0,0,60,240,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,38,9.023307
1200,255,0,128,0,160,0,40,240,BENIGN,BENIGN,BENIGN,BENIGN,39,9.82242
342,186,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,40,0.0
358,122,32,0,0,0,106,0,0,BENIGN,BENIGN,BENIGN,BENIGN,41,0.0
376,0,0,2,0,2,84,194,84,BENIGN,BENIGN,BENIGN,BENIGN,42,0.0
377,1,227,8,0,146,4,0,0,BENIGN,BENIGN,BENIGN,BENIGN,43,0.0
514,28,249,32,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,44,4.4898443
610,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,45,0.0
1057,6,0,21,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,46,0.0
1069,0,3,255,0,0,0,240,0,BENIGN,BENIGN,BENIGN,BENIGN,47,0.0
125,0,0,244,176,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,48,12.045584
532,0,0,0,0,0,0,244,176,BENIGN,BENIGN,BENIGN,BENIGN,49,11.959541
1045,0,0,0,255,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,50,11.963243
1200,255,0,128,0,176,0,40,239,BENIGN,BENIGN,BENIGN,BENIGN,51,13.194691
514,28,247,48,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,52,3.6588871
1072,131,0,7,52,100,1,18,147,BENIGN,BENIGN,BENIGN,BENIGN,53,2.4499557
1076,36,0,20,0,15,255,2,96,BENIGN,BENIGN,BENIGN,BENIGN,54,0.0
1077,40,32,8,28,0,32,41,0,BENIGN,BENIGN,BENIGN,BENIGN,55,0.0
125,0,0,243,192,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,56,8.070388
532,0,0,0,0,0,0,243,192,BENIGN,BENIGN,BENIGN,BENIGN,57,7.9087677
1045,0,0,4,254,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,58,8.01607
1046,64,96,254,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,59,0.012411461
1200,255,0,128,0,192,0,40,238,BENIGN,BENIGN,BENIGN,BENIGN,60,11.362242
514,28,245,64,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,61,1.1244271
1034,193,0,255,255,255,255,255,255,BENIGN,BENIGN,BENIGN,BENIGN,62,0.0
125,0,0,242,208,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,63,6.992694
532,0,0,0,0,0,0,242,208,BENIGN,BENIGN,BENIGN,BENIGN,64,7.0127964
1045,0,0,8,253,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,65,7.059907
1200,255,0,128,0,208,0,40,237,BENIGN,BENIGN,BENIGN,BENIGN,66,6.5802016
514,28,243,80,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,67,6.1748724
1409,129,0,255,255,255,255,255,255,BENIGN,BENIGN,BENIGN,BENIGN,68,0.0
938,0,34,32,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,69,0.0
939,18,0,0,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,70,0.0
125,0,0,241,224,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,71,7.9995813
532,0,0,0,0,0,0,241,224,BENIGN,BENIGN,BENIGN,BENIGN,72,8.05375
1045,0,0,12,252,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,73,8.005915
1200,255,0,128,0,224,0,40,236,BENIGN,BENIGN,BENIGN,BENIGN,74,10.675612
514,28,241,96,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,75,5.6493926
125,0,0,240,240,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,76,4.9261446
532,0,0,0,0,0,0,240,240,BENIGN,BENIGN,BENIGN,BENIGN,77,5.0615954
1045,0,0,16,251,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,78,4.8087234
1200,255,0,128,0,240,0,40,235,BENIGN,BENIGN,BENIGN,BENIGN,79,4.112705
514,28,239,112,0,64,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,80,21.643276
125,0,0,255,0,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,81,5.0019116
532,0,0,0,0,0,0,255,0,BENIGN,BENIGN,BENIGN,BENIGN,82,5.025315
1045,0,0,20,250,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,83,4.9343576
1200,255,0,128,0,0,0,40,250,BENIGN,BENIGN,BENIGN,BENIGN,84,4.956756
1072,131,0,7,52,100,5,18,147,BENIGN,BENIGN,BENIGN,BENIGN,85,30.963217
1077,40,32,5,20,0,32,41,0,BENIGN,BENIGN,BENIGN,BENIGN,86,38.50382
125,0,0,254,16,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,87,5.92643
532,0,0,0,0,0,0,254,16,BENIGN,BENIGN,BENIGN,BENIGN,88,5.8045835
1045,0,0,24,249,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,89,6.028051
1046,65,96,253,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,90,31.287199
1200,255,0,128,0,16,0,40,249,BENIGN,BENIGN,BENIGN,BENIGN,91,5.7156324
125,0,0,253,32,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,92,4.8671823
532,0,0,0,0,0,0,253,32,BENIGN,BENIGN,BENIGN,BENIGN,93,4.9240894
1045,0,0,28,248,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,94,5.0299077
1200,255,0,128,0,32,0,40,248,BENIGN,BENIGN,BENIGN,BENIGN,95,2.9513824
132,0,0,0,76,15,52,12,0,BENIGN,BENIGN,BENIGN,BENIGN,96,0.0020355415
125,0,0,252,48,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,97,4.828289
532,0,0,0,0,0,0,252,48,BENIGN,BENIGN,BENIGN,BENIGN,98,4.96318
1045,0,0,32,247,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,99,5.054375
1200,255,0,128,0,48,0,40,247,BENIGN,BENIGN,BENIGN,BENIGN,100,4.506406
125,0,0,251,64,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,101,3.9254134
532,0,0,0,0,0,0,251,64,BENIGN,BENIGN,BENIGN,BENIGN,102,4.0744324
862,0,192,0,20,160,104,0,0,BENIGN,BENIGN,BENIGN,BENIGN,103,0.0
1045,0,0,36,246,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,104,4.967896
1200,255,0,128,0,64,0,40,246,BENIGN,BENIGN,BENIGN,BENIGN,105,3.6164749
125,0,0,250,80,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,106,5.093088
532,0,0,0,0,0,0,250,80,BENIGN,BENIGN,BENIGN,BENIGN,107,4.961088
1045,0,0,40,245,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,108,3.9887311
1200,255,0,128,0,80,0,40,245,BENIGN,BENIGN,BENIGN,BENIGN,109,7.3588204
1072,135,0,7,52,100,1,22,147,BENIGN,BENIGN,BENIGN,BENIGN,110,26.362413
125,0,0,249,96,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,111,4.963916
532,0,0,0,0,0,0,249,96,BENIGN,BENIGN,BENIGN,BENIGN,112,4.860153
1045,0,0,44,244,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,113,5.0024424
1046,66,96,252,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,114,23.983955
1200,255,0,128,0,96,0,40,244,BENIGN,BENIGN,BENIGN,BENIGN,115,4.8365297
909,32,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,116,0.0
950,8,0,5,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,117,82.400276
951,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,118,81.84075
952,255,255,255,255,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,119,0.0
995,0,0,4,19,128,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,120,0.0
1003,0,4,20,0,0,16,0,0,BENIGN,BENIGN,BENIGN,BENIGN,121,0.0
1034,193,1,255,255,255,255,255,255,BENIGN,BENIGN,BENIGN,BENIGN,122,59.944492
1084,50,0,0,44,0,153,136,20,BENIGN,BENIGN,BENIGN,BENIGN,123,0.0
1095,33,0,0,75,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,124,0.0
125,0,0,248,112,0,63,255,255,BENIGN,BENIGN,BENIGN,BENIGN,125,13.943905
532,0,0,0,0,0,0,248,112,BENIGN,BENIGN,BENIGN,BENIGN,126,14.064138
1045,0,0,48,243,15,255,15,255,BENIGN,BENIGN,BENIGN,BENIGN,127,13.842153
1200,255,0,128,0,112,0,40,243,BENIGN,BENIGN,BENIGN,BENIGN,128,13.597913
948,20,17,17,255,255,255,0,0,BENIGN,BENIGN,BENIGN,BENIGN,129,0.0
949,255,253,255,253,255,253,255,253,BENIGN,BENIGN,BENIGN,BENIGN,130,0.0
817,192,0,228,137,10,0,0,2,BENIGN,BENIGN,BENIGN,BENIGN,131,0.05277479
1077,40,32,0,20,0,32,41,0,BENIGN,BENIGN,BENIGN,BENIGN,132,45.340984
967,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,133,0.0
1046,67,96,251,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,134,20.137478
947,65,136,0,18,230,0,3,50,BENIGN,BENIGN,BENIGN,BENIGN,135,0.0
963,64,0,16,193,0,0,129,0,BENIGN,BENIGN,BENIGN,BENIGN,136,0.0
1046,68,96,250,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,137,3.133844
1034,193,2,255,255,255,255,255,255,BENIGN,BENIGN,BENIGN,BENIGN,138,15.989503
986,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,139,0.0
994,0,0,0,0,128,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,140,0.0
1002,0,0,0,0,0,0,96,0,BENIGN,BENIGN,BENIGN,BENIGN,141,0.0
950,8,0,6,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,142,24.347137
951,0,0,1,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,143,25.65177
1076,36,0,20,0,15,255,2,100,BENIGN,BENIGN,BENIGN,BENIGN,144,103.44588
1077,124,112,0,84,0,36,41,0,BENIGN,BENIGN,BENIGN,BENIGN,145,9.459464
1046,69,96,249,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,146,9.051571
968,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,147,0.0
992,0,0,0,0,128,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,148,0.0
1125,255,252,255,252,255,254,255,252,BENIGN,BENIGN,BENIGN,BENIGN,149,0.0
1126,0,76,236,248,96,32,32,0,BENIGN,BENIGN,BENIGN,BENIGN,150,0.0
1127,0,255,224,255,254,254,240,240,BENIGN,BENIGN,BENIGN,BENIGN,151,0.0
1046,70,96,248,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,152,6.1678925
1034,193,4,255,255,255,255,255,255,BENIGN,BENIGN,BENIGN,BENIGN,153,15.02184
1046,71,96,247,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,154,1.8887231
950,8,0,7,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,155,13.622159
951,0,0,2,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,156,13.10049
1046,72,96,246,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,157,3.318976
1034,193,16,255,255,255,255,255,0,BENIGN,BENIGN,BENIGN,BENIGN,158,4.936366
942,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,159,0.0
753,0,0,81,16,0,254,1,0,BENIGN,BENIGN,BENIGN,BENIGN,160,0.0
902,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,161,0.0
1081,0,0,0,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,162,0.0
1046,73,96,245,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,163,6.1589313
950,8,0,8,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,164,9.385729
1046,74,96,244,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,165,2.1368265
1034,192,0,0,5,13,254,242,0,BENIGN,BENIGN,BENIGN,BENIGN,166,8.024578
1046,75,96,243,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,167,1.77758
132,0,0,0,76,15,53,12,0,BENIGN,BENIGN,BENIGN,BENIGN,168,71.98961
512,0,0,130,80,130,80,240,0,BENIGN,BENIGN,BENIGN,BENIGN,169,127.61198
1046,76,96,242,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,170,2.8247905
950,8,0,9,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,171,7.2786846
817,192,0,228,138,10,0,0,2,BENIGN,BENIGN,BENIGN,BENIGN,172,40.94543
1046,77,96,241,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,173,3.4276822
1046,78,96,240,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,174,1.2226183
950,8,0,10,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,175,3.438447
1046,79,96,239,8,1,10,128,0,BENIGN,BENIGN,BENIGN,BENIGN,176,2.1228411
1126,0,80,0,248,96,32,32,0,BENIGN,BENIGN,BENIGN,BENIGN,177,27.010084
950,8,0,11,0,0,0,0,0,BENIGN,BENIGN,BENIGN,BENIGN,178,2.9080384
